fecha_asignacion,correlativo_aspirante,sexo,anio_nacimiento,materia,numero_de_fecha_de_evaluaci,anio_de_ingreso,aprobacion,carrera_objetivo,departamento_institucion_ed,municipio_institucion_,tipo_institucion_educativa
2022-09-27,7e01cd4f00bd2f1bf4ba,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,7e01cd4f00bd2f1bf4ba,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,2819aa0ff242d13c2b334,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,QUEZALTENANGO,QUETZALTENANGO,PUBLICO
2022-09-27,2819aa0ff242d13c2b334,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,QUEZALTENANGO,QUETZALTENANGO,PUBLICO
2022-09-27,439b2af1ee507a21077d,F,1998,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,439b2af1ee507a21077d,F,1998,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,97066f88355c2ffff8c1cf,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,97066f88355c2ffff8c1cf,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,ebe8976530c08608cb7a,M,2000,MATEMATICA,1,2023,APROBADO,INGENIERIA ELECTRONICA,PETEN,FLORES,PRIVADO
2022-09-27,daa93bdc08f3f03c28e5c,F,2003,COMPUTACION,1,2023,APROBADO,INGENIERIA EN CIENCIAS Y ,SANTA ROSA,NUEVA SANTA ,POR COOPERATIVA
2022-09-27,daa93bdc08f3f03c28e5c,F,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,SANTA ROSA,NUEVA SANTA ,POR COOPERATIVA
